instance                       n       A       F       M       N       S
smallworld-20-0.txt          400       ?       0      !?       8    true
smallworld-20-1.txt          400       ?       0      !?      14    true
smallworld-3-0.txt             9       ?       0      !?       4    true
smallworld-3-1.txt             9       ?       1      !?       2    true
smallworld-30-0.txt          900       ?       0      !?       9    true
smallworld-30-1.txt          900       ?       0      !?      11    true
smallworld-40-0.txt         1600       ?       0      !?       8    true
smallworld-40-1.txt         1600       ?       0      !?      13    true
smallworld-50-0.txt         2500       ?       0      !?       3    true
smallworld-50-1.txt         2500       ?       1      !?      -1    true
wall-n-1.txt                   8       ?       0      !?       1    true
wall-n-10.txt                 80       ?       0      !?       1   false
wall-n-100.txt               800       ?       0      !?       1   false
wall-n-1000.txt             8000       ?       0      !?       1   false
wall-n-10000.txt           80000       ?       0      !?       1   false
wall-n-2.txt                  16       ?       0      !?       1   false
wall-n-3.txt                  24       ?       0      !?       1   false
wall-n-4.txt                  32       ?       0      !?       1   false
wall-p-1.txt                   8       ?       0      !?       1    true
wall-p-10.txt                 62       ?       0      !?       1   false
wall-p-100.txt               602       ?       0      !?       1   false
wall-p-1000.txt             6002       ?       0      !?       1   false
wall-p-10000.txt           60002       ?       0      !?       1   false
wall-p-2.txt                  14       ?       0      !?       1   false
wall-p-3.txt                  20       ?       0      !?       1   false
wall-p-4.txt                  26       ?       0      !?       1   false
wall-z-1.txt                   8       ?       0      !?       1    true
wall-z-10.txt                 71       ?       0      !?       1   false
wall-z-100.txt               701       ?       0      !?       1   false
wall-z-1000.txt             7001       ?       0      !?       1   false
wall-z-10000.txt           70001       ?       0      !?       1   false
wall-z-2.txt                  15       ?       0      !?       1   false
wall-z-3.txt                  22       ?       0      !?       1   false
wall-z-4.txt                  29       ?       0      !?       1   false
